"","SNR","p","sparsity","Method","Simulation","FDR","FNR","F1","runtime","MSBE","MSPE","MSPEout"
"1",1,1000,0.03,"blasso",1,0.952691680261011,0.0333333333333333,0.0902021772939347,4029.07756066322,0.0286166788403316,42.333937479997,72.9098481619046
"2",1,1000,0.03,"blasso",100,0.961333333333333,0.0333333333333333,0.0743589743589744,8001.4850859642,0.0280893162774576,29.8361891268998,51.0719947240803
"3",1,1000,0.03,"blasso",11,0.962962962962963,0.1,0.0711462450592885,12524.9863293171,0.0277834674872839,33.9800272506917,49.2274400261883
"4",1,1000,0.03,"blasso",12,0.962264150943396,0.0666666666666667,0.0725388601036269,16971.8836128712,0.0259992580062106,35.7496839038432,52.4462996479661
"5",1,1000,0.03,"blasso",14,0.962110960757781,0.0666666666666667,0.0728218465539662,19047.0195286274,0.0269402668470238,32.8772530564853,71.1619118028675
"6",1,1000,0.03,"blasso",17,0.955555555555556,0.133333333333333,0.0845528455284553,4032.66394257545,0.0283814460815614,44.2161405492702,61.7813762570808
"7",1,1000,0.03,"blasso",19,0.962758620689655,0.1,0.071523178807947,12112.5843560696,0.0277171715503448,36.1039774702964,56.0290994942186
"8",1,1000,0.03,"blasso",2,0.963930348258706,0.0333333333333333,0.0695443645083933,5942.73412275314,0.0266617945350445,19.2594532549505,68.8712971180024
"9",1,1000,0.03,"blasso",20,0.95821325648415,0.0333333333333333,0.080110497237569,4418.72992944717,0.0281307344311387,32.7186592072793,59.1038127532889
"10",1,1000,0.03,"blasso",23,0.96469104665826,0.0666666666666667,0.0680437424058323,4099.08453178406,0.0255887706002974,33.0204183303814,50.6542437560946
"11",1,1000,0.03,"blasso",24,0.961741424802111,0.0333333333333333,0.0736040609137056,11942.3599421978,0.027673662397403,27.5715250355818,51.6171368734766
"12",1,1000,0.03,"blasso",26,0.965665236051502,0.2,0.065843621399177,19426.9531807899,0.0282470871774719,43.5346831258536,46.0892069118903
"13",1,1000,0.03,"blasso",27,0.959269662921348,0.0333333333333333,0.078167115902965,17797.649377346,0.0274877678936821,34.4372009711855,51.1775094158579
"14",1,1000,0.03,"blasso",28,0.965277777777778,0,0.0671140939597315,6021.25418019295,0.0263117223226938,10.2623237864911,67.9032456976496
"15",1,1000,0.03,"blasso",29,0.961229946524064,0.0333333333333333,0.0745501285347044,3775.65085077286,0.0261181912541257,23.4671032092212,71.1343278873146
"16",1,1000,0.03,"blasso",3,0.95702479338843,0.133333333333333,0.0818897637795276,11384.4850518703,0.0286088218613969,44.4666339125856,48.9042040211927
"17",1,1000,0.03,"blasso",30,0.963768115942029,0,0.0699300699300699,4328.22161698341,0.0239380352800879,19.3627099246532,38.8994307406351
"18",1,1000,0.03,"blasso",31,0.960244648318043,0.133333333333333,0.0760233918128655,19507.0819988251,0.0284247930821038,33.4143872194759,60.0307202015189
"19",1,1000,0.03,"blasso",32,0.955974842767296,0.0666666666666667,0.0840840840840841,11927.1193802357,0.0279189060661571,36.948886478398,48.2475090022483
"20",1,1000,0.03,"blasso",34,0.96219035202086,0.0333333333333333,0.0727728983688833,6039.88611292839,0.0276687714270508,30.8752840483051,61.2398412199544
"21",1,1000,0.03,"blasso",38,0.959610027855153,0.0333333333333333,0.0775401069518717,11787.5443651676,0.0284252314608435,32.6512688207114,45.5481246439411
"22",1,1000,0.03,"blasso",39,0.96039603960396,0.0666666666666667,0.0759837177747626,5968.75198221207,0.0280859588855093,34.0296220244087,43.1776881967921
"23",1,1000,0.03,"blasso",4,0.9558599695586,0.0333333333333333,0.0844250363901019,4071.28770208359,0.0279841721170804,41.3307702507759,54.0962033756656
"24",1,1000,0.03,"blasso",41,0.957163958641064,0.0333333333333333,0.082036775106082,4093.51046872139,0.028154453936981,35.3532496323386,50.4803249200339
"25",1,1000,0.03,"blasso",43,0.960812772133527,0.1,0.0751043115438109,12378.2592544556,0.0283024977576166,38.5302746202374,53.5357011036187
"26",1,1000,0.03,"blasso",45,0.954887218045113,0,0.0863309352517986,6151.18191409111,0.0279928207509329,38.9799637730103,54.738223362557
"27",1,1000,0.03,"blasso",46,0.962073324905183,0,0.0730816077953715,3989.01918148994,0.0250683178975191,32.6489477821356,47.7714656457348
"28",1,1000,0.03,"blasso",49,0.960294117647059,0.1,0.076056338028169,3447.42389249802,0.0277243761353908,31.8401611248125,83.0608356762309
"29",1,1000,0.03,"blasso",52,0.965102286401925,0.0333333333333333,0.0673635307781649,4295.83267569542,0.0245223729573985,21.8891041828613,62.1081244839247
