"","SNR","p","sparsity","Method","Simulation","FDR","FNR","F1","runtime","MSBE","MSPE","MSPEout"
"1",1,1000,0.03,"blasso",10,0.958791208791209,0,0.079155672823219,2988.95141291618,0.00169689187473658,0.0705304810810093,3.33041938944665
"2",1,1000,0.03,"blasso",100,0.96078431372549,0,0.0754716981132075,5529.25903916359,0.00206401694920973,0.487086314024604,2.04889424908936
"3",1,1000,0.03,"blasso",11,0.961832061068702,0,0.0735294117647059,6864.59470677376,0.00186502072484366,0.124452270205789,4.72994114107824
"4",1,1000,0.03,"blasso",12,0.961240310077519,0,0.0746268656716418,6815.01796984673,0.00158769737302302,0.00841837232140495,2.53334575196819
"5",1,1000,0.03,"blasso",13,0.959946595460614,0,0.0770218228498075,2805.96792602539,0.00156357827895155,0.0518503593552106,2.03249537271832
"6",1,1000,0.03,"blasso",14,0.961880559085133,0,0.0734394124847001,3253.77687144279,0.00217582430754392,0.0185171193638528,4.38585833181664
"7",1,1000,0.03,"blasso",15,0.96,0,0.0769230769230769,6955.58642029762,0.0015755739305567,0.124306463237386,2.47242402016305
"8",1,1000,0.03,"blasso",16,0.960474308300395,0,0.0760456273764259,6911.21020197868,0.00179698738442727,0.0699094006553833,3.88878171831306
"9",1,1000,0.03,"blasso",18,0.959731543624161,0,0.0774193548387097,9685.29651618004,0.00169191127090697,0.0517314914367869,2.50813525949797
"10",1,1000,0.03,"blasso",19,0.959946595460614,0,0.0770218228498075,3054.92763137817,0.00182776643922609,0.320003561085092,4.25883598985256
"11",1,1000,0.03,"blasso",2,0.96042216358839,0,0.0761421319796954,7181.60583353043,0.00195498242113651,0.0221119117895737,2.86984321446915
"12",1,1000,0.03,"blasso",24,0.96042216358839,0,0.0761421319796954,2669.41396856308,0.00164233192254136,0.0230286299455692,3.58554064101302
"13",1,1000,0.03,"blasso",27,0.961038961038961,0,0.075,7795.5434987545,0.00223941645762979,0.185918319403714,4.67413489189129
"14",1,1000,0.03,"blasso",28,0.96,0,0.0769230769230769,6958.22902131081,0.0014943457032848,0.0866351140449046,3.29794154987461
"15",1,1000,0.03,"blasso",31,0.958734525447043,0,0.0792602377807134,3303.99366688728,0.00181992205498319,0.158451843798897,4.3067314449939
"16",1,1000,0.03,"blasso",32,0.961880559085133,0,0.0734394124847001,7004.46570110321,0.00167129645688166,0.287178888377891,2.74780487596599
"17",1,1000,0.03,"blasso",35,0.959785522788204,0,0.077319587628866,2948.90436649323,0.0018272491285305,0.301846682217973,5.42167765902121
"18",1,1000,0.03,"blasso",39,0.960732984293194,0,0.0755667506297229,3161.45076131821,0.00190294818014755,0.0164720836436609,2.48207675057707
"19",1,1000,0.03,"blasso",40,0.960629921259842,0,0.0757575757575758,2921.10305285454,0.00206909113713701,0.028490409174171,4.51725159526282
"20",1,1000,0.03,"blasso",42,0.960264900662252,0,0.0764331210191083,7488.43718600273,0.00142665109760669,0.0132732112262755,2.27874964819045
"21",1,1000,0.03,"blasso",45,0.96042216358839,0,0.0761421319796954,9979.66314578056,0.00190043311100327,0.0524035579586299,3.3228232914078
"22",1,1000,0.03,"blasso",46,0.958620689655172,0,0.0794701986754967,4403.09653162956,0.00127871004216773,0.323417650995811,2.42959039728002
"23",1,1000,0.03,"blasso",49,0.959731543624161,0,0.0774193548387097,2823.29065489769,0.00144228099297954,0.0109819660059388,3.78871453258429
