"","SNR","p","sparsity","Method","Simulation","FDR","FNR","F1","runtime","MSBE","MSPE","MSPEout"
"1",1,1000,0.03,"blasso",1,0.954828660436137,0.0333333333333333,0.0863095238095238,23617.0462479591,0.027840532161028,36.1388650237305,36.4374231772128
"2",1,1000,0.03,"blasso",10,0.960651289009498,0.0333333333333333,0.075619295958279,23229.6391777992,0.0270337835709869,30.092894522011,56.1291800654723
"3",1,1000,0.03,"blasso",11,0.959097320169252,0.0333333333333333,0.0784844384303112,23997.5738890171,0.0272292640906043,43.6279453663299,76.456302278192
"4",1,1000,0.03,"blasso",12,0.961290322580645,0,0.0745341614906832,23220.1753377914,0.0253120117834452,23.438429250965,49.3812002371131
"5",1,1000,0.03,"blasso",13,0.959885386819484,0.0666666666666667,0.0769230769230769,23950.8990411758,0.0279055625543596,31.5938585409978,69.0530698845206
"6",1,1000,0.03,"blasso",14,0.963855421686747,0,0.0697674418604651,23662.6707761288,0.0243251439113879,23.0931324730361,60.0384146165771
"7",1,1000,0.03,"blasso",15,0.95886524822695,0.0333333333333333,0.0789115646258503,23214.6351380348,0.0271923021936933,34.7708801026931,63.603867716008
"8",1,1000,0.03,"blasso",16,0.966265060240964,0.0666666666666667,0.0651162790697674,23315.4310488701,0.0242890365969632,23.8121173119818,53.3220444857968
"9",1,1000,0.03,"blasso",17,0.962868117797695,0.0333333333333333,0.0715166461159063,24210.6080009937,0.0257401393151237,25.9554502453422,62.1746805441423
"10",1,1000,0.03,"blasso",18,0.964504283965728,0.0333333333333333,0.0684769775678867,24260.3600587845,0.0263599444748536,21.3813547636946,70.1160085072053
"11",1,1000,0.03,"blasso",19,0.96469104665826,0.0666666666666667,0.0680437424058323,24682.137720108,0.0258081387876154,27.1045711568245,68.2324620963127
"12",1,1000,0.03,"blasso",2,0.955403087478559,0.133333333333333,0.0848287112561175,23614.3369750977,0.028941659456795,43.9247354436281,55.1755004735024
"13",1,1000,0.03,"blasso",20,0.95800933125972,0.1,0.0802377414561664,24362.0655810833,0.0281914562474151,35.3785379061306,59.4566304353595
"14",1,1000,0.03,"blasso",21,0.963010204081633,0.0333333333333333,0.0712530712530713,24950.612970829,0.0256949728089111,21.2386465330188,49.6834374354595
"15",1,1000,0.03,"blasso",22,0.962861072902338,0.1,0.071334214002642,24886.2250649929,0.027932589504299,29.1443810304476,55.2745995285557
"16",1,1000,0.03,"blasso",23,0.964200477326969,0,0.0691244239631336,24242.3493859768,0.025566427831986,15.1385576414784,45.2913345211273
"17",1,1000,0.03,"blasso",24,0.957787481804949,0.0333333333333333,0.0808926080892608,24888.0161149502,0.0281934136123329,34.1647621560863,52.4061378521075
"18",1,1000,0.03,"blasso",25,0.96248382923674,0.0333333333333333,0.0722291407222914,23873.1576881409,0.0246321877692725,22.9039589157319,52.7147981341462
"19",1,1000,0.03,"blasso",26,0.960544217687075,0.0333333333333333,0.0758169934640523,23858.5093948841,0.027165417790344,39.3206072408631,63.5017398795008
"20",1,1000,0.03,"blasso",27,0.959827833572453,0.0666666666666667,0.0770288858321871,24114.4423310757,0.0275239045800221,42.3972873329216,69.6179160435748
"21",1,1000,0.03,"blasso",28,0.955423476968796,0,0.085348506401138,23871.5679848194,0.0278624504252443,39.4845874644799,72.6381386114212
"22",1,1000,0.03,"blasso",29,0.951907131011609,0.0333333333333333,0.0916271721958926,23869.4371290207,0.0290397352884203,34.747171974704,64.3475943456564
"23",1,1000,0.03,"blasso",3,0.967351874244256,0.1,0.0630105017502917,23647.5838499069,0.0266737008142935,16.3032376571406,63.2094988006147
"24",1,1000,0.03,"blasso",30,0.959770114942529,0.0666666666666667,0.0771349862258953,24269.5863311291,0.0271880158983891,45.0682397458105,59.616040870963
"25",1,1000,0.03,"blasso",31,0.961892247043364,0.0333333333333333,0.0733249051833123,27022.2912461758,0.0262498205962198,30.3178648002586,41.284578553854
"26",1,1000,0.03,"blasso",32,0.960681520314548,0,0.0756620428751576,25853.4141368866,0.0257566130345242,35.5322022111379,61.8871907485648
"27",1,1000,0.03,"blasso",33,0.964975845410628,0.0333333333333333,0.0675990675990676,24471.4070181847,0.0234144617379293,18.8444950713651,63.0374632655452
"28",1,1000,0.03,"blasso",34,0.950086058519793,0.0333333333333333,0.0949263502454992,24762.2959468365,0.0285469147556812,45.1468295257016,57.614478788205
"29",1,1000,0.03,"blasso",35,0.955974842767296,0.0666666666666667,0.0840840840840841,25528.5123181343,0.0283150323058298,36.9426153929832,46.6043231981102
"30",1,1000,0.03,"blasso",36,0.962373371924747,0.133333333333333,0.072122052704577,24885.5533440113,0.0280079055831481,41.7605017687609,53.2170856513422
"31",1,1000,0.03,"blasso",37,0.96043656207367,0.0333333333333333,0.0760157273918742,24511.9319689274,0.0277945528721825,34.1732461977,49.2850005856432
"32",1,1000,0.03,"blasso",38,0.956521739130435,0.0666666666666667,0.0830860534124629,24636.1540820599,0.0283020000212065,34.8828184339655,53.0860533477359
"33",1,1000,0.03,"blasso",39,0.964095744680851,0.1,0.0690537084398977,27067.8853759766,0.0257677362561133,33.8277829774693,46.3210195468869
"34",1,1000,0.03,"blasso",4,0.96,0.0666666666666667,0.0767123287671233,23641.2572290897,0.0283569059693849,35.3532812005359,62.7813860090561
"35",1,1000,0.03,"blasso",40,0.958689458689459,0.0333333333333333,0.0792349726775956,25929.7298460007,0.0261402016607747,50.8181771436076,48.228306808266
"36",1,1000,0.03,"blasso",5,0.961538461538462,0,0.0740740740740741,23623.2108700275,0.0264561151292905,24.4521755425916,44.0619452832624
"37",1,1000,0.03,"blasso",6,0.963337547408344,0.0333333333333333,0.0706455542021924,23614.5257799625,0.0260435207334904,43.1457739033718,55.0989128585167
"38",1,1000,0.03,"blasso",7,0.96219035202086,0.0333333333333333,0.0727728983688833,23622.1133570671,0.0267492681900842,37.4691532368442,47.0748394432121
"39",1,1000,0.03,"blasso",8,0.9558599695586,0.0333333333333333,0.0844250363901019,23620.6825900078,0.0284435304258985,43.4673625446962,56.4187136289137
"40",1,1000,0.03,"blasso",9,0.961333333333333,0.0333333333333333,0.0743589743589744,23968.6483421326,0.0255052792439102,27.2689493363497,56.4606961822747
"41",1,1000,0.03,"EL",1,0.787234042553192,0.333333333333333,0.32258064516129,0.313283920288086,0.0255302031504065,13.5896955474286,33.9789728918164
"42",1,1000,0.03,"EL",10,0.736842105263158,0.666666666666667,0.294117647058824,0.233766078948975,0.0265573147636164,33.9604606982039,58.636152063395
"43",1,1000,0.03,"EL",100,0.8125,0.5,0.272727272727273,0.343708992004395,0.0241866772134184,23.5737994669229,49.311208201631
"44",1,1000,0.03,"EL",11,0.783132530120482,0.4,0.31858407079646,0.312079191207886,0.0246012420777003,24.1271031944083,73.507124548533
"45",1,1000,0.03,"EL",12,0.825242718446602,0.4,0.270676691729323,0.267033100128174,0.025692925077806,11.3974591555058,57.918776532198
"46",1,1000,0.03,"EL",13,0.5,0.966666666666667,0.0625,0.272886037826538,0.0293063593105574,47.181818976839,69.6282129042975
"47",1,1000,0.03,"EL",14,0.714285714285714,0.533333333333333,0.354430379746835,0.334017038345337,0.024382596547847,36.7859612123647,55.4680144673661
"48",1,1000,0.03,"EL",15,0.727272727272727,0.6,0.324324324324324,0.277340888977051,0.0261475382949163,31.5389006885317,64.2400651340317
"49",1,1000,0.03,"EL",16,0.678571428571429,0.4,0.418604651162791,0.302653074264526,0.0224854870404629,31.8626250028715,53.5325382046623
"50",1,1000,0.03,"EL",17,0.657894736842105,0.566666666666667,0.382352941176471,0.416992902755737,0.0269600376215291,37.8766541532809,66.1000610947999
"51",1,1000,0.03,"EL",18,0.803030303030303,0.566666666666667,0.270833333333333,0.289530038833618,0.0277928396191195,27.06190796931,68.5438098150747
"52",1,1000,0.03,"EL",19,0.833333333333333,0.466666666666667,0.253968253968254,0.277508974075317,0.0292240634006917,16.9165156813998,69.6690928186722
"53",1,1000,0.03,"EL",2,0.666666666666667,0.966666666666667,0.0606060606060606,0.260858774185181,0.029667634109295,54.1268902302685,57.4698162833513
"54",1,1000,0.03,"EL",20,0.787234042553192,0.666666666666667,0.25974025974026,0.3350989818573,0.028176970853495,30.5527142383798,56.3813329020547
"55",1,1000,0.03,"EL",21,0.793103448275862,0.4,0.307692307692308,0.350445985794067,0.0265016051494531,15.169210371118,55.216719149074
"56",1,1000,0.03,"EL",22,0.789473684210526,0.6,0.275862068965517,0.384073972702026,0.02691730305818,28.8273666634947,55.7269023744871
"57",1,1000,0.03,"EL",23,0.826446280991736,0.3,0.278145695364238,0.339404106140137,0.0271401912352288,9.7544391096153,46.4460990413844
"58",1,1000,0.03,"EL",25,0.6,0.866666666666667,0.2,0.354942083358765,0.0275279895499789,55.9000370509821,56.4997212356733
"59",1,1000,0.03,"EL",26,0.728813559322034,0.466666666666667,0.359550561797753,0.277059078216553,0.0253105069756409,32.9927040172167,62.4966999844178
"60",1,1000,0.03,"EL",27,0.571428571428571,0.9,0.162162162162162,0.365936040878296,0.0292357815591177,59.6796896207824,68.7003122508889
"61",1,1000,0.03,"EL",28,0.733333333333333,0.733333333333333,0.266666666666667,0.296930074691772,0.027473433272553,42.9917859090732,72.4908059009027
"62",1,1000,0.03,"EL",3,0.841463414634146,0.566666666666667,0.232142857142857,0.321826934814453,0.0294414539405063,18.2380689837524,65.492978217387
"63",1,1000,0.03,"EL",30,0.845637583892617,0.233333333333333,0.256983240223464,0.312741994857788,0.025145839477896,5.28426234888711,52.4749389171855
"64",1,1000,0.03,"EL",31,0.814285714285714,0.566666666666667,0.26,0.316633939743042,0.0258888114330765,20.4993159223647,43.5267444495996
"65",1,1000,0.03,"EL",32,0.698412698412698,0.366666666666667,0.408602150537634,0.286705017089844,0.0234372719353273,31.6465352003281,59.6285336679772
"66",1,1000,0.03,"EL",33,0.753086419753086,0.333333333333333,0.36036036036036,0.31337308883667,0.0224193709637627,20.6669586582417,59.0202395573611
"67",1,1000,0.03,"EL",34,0.714285714285714,0.933333333333333,0.108108108108108,0.323040962219238,0.0291444407605321,52.6374020044019,58.6373933485446
"68",1,1000,0.03,"EL",35,0.6,0.866666666666667,0.2,0.333138942718506,0.0291172369945033,46.58248956831,46.0777347861722
"69",1,1000,0.03,"EL",36,0.444444444444444,0.833333333333333,0.256410256410256,0.298972129821777,0.028527581478452,54.3369881878466,53.8123074530159
"70",1,1000,0.03,"EL",37,0.25,0.9,0.176470588235294,0.482127904891968,0.0289897001722985,52.3672893826647,50.1059472033241
